First Name,Last Name,E Mail,Phone Number,Place Name,,,,,,,,,,,,,,,,,,,,,,,
Lois,Walker,lois.walker@hotmail.com,303-572-8492,Denver,,,,,,,,,,,,,,,,,,,,,,,
Brenda,Robinson,brenda.robinson@gmail.com,225-945-4954,Stonewall,,,,,,,,,,,,,,,,,,,,,,,
Joe,Robinson,joe.robinson@gmail.com,219-904-2161,Michigantown,,,,,,,,,,,,,,,,,,,,,,,
Diane,Evans,diane.evans@yahoo.com,215-793-6791,Hydetown,,,,,,,,,,,,,,,,,,,,,,,
Benjamin,Russell,benjamin.russell@charter.net,262-404-2252,Fremont,,,,,,,,,,,,,,,,,,,,,,,
Patrick,Bailey,patrick.bailey@aol.com,319-812-6957,Macksburg,,,,,,,,,,,,,,,,,,,,,,,
Nancy,Baker,nancy.baker@bp.com,229-336-5117,Atlanta,,,,,,,,,,,,,,,,,,,,,,,
Carol,Murphy,carol.murphy@gmail.com,216-336-0009,Blanchester,,,,,,,,,,,,,,,,,,,,,,,
Frances,Young,frances.young@gmail.com,210-819-9765,Delmita,,,,,,,,,,,,,,,,,,,,,,,
Diana,Peterson,diana.peterson@hotmail.co.uk,479-783-5656,Eureka Springs,,,,,,,,,,,,,,,,,,,,,,,
Ralph,Flores,ralph.flores@yahoo.com,316-280-2864,Sabetha,,,,,,,,,,,,,,,,,,,,,,,
Jack,Alexander,jack.alexander@gmail.com,702-603-3769,Las Vegas,,,,,,,,,,,,,,,,,,,,,,,
Melissa,King,melissa.king@comcast.net,216-605-3731,New Matamoras,,,,,,,,,,,,,,,,,,,,,,,
Wayne,Watson,wayne.watson@gmail.com,701-231-9370,Maida,,,,,,,,,,,,,,,,,,,,,,,
Cheryl,Scott,cheryl.scott@gmail.com,215-288-9345,Quecreek,,,,,,,,,,,,,,,,,,,,,,,
Paula,Diaz,paula.diaz@gmail.com,252-531-7641,Beulaville,,,,,,,,,,,,,,,,,,,,,,,
Joshua,Stewart,joshua.stewart@yahoo.ca,217-279-9342,New Douglas,,,,,,,,,,,,,,,,,,,,,,,
Theresa,Lee,theresa.lee@gmail.com,319-553-8919,Toeterville,,,,,,,,,,,,,,,,,,,,,,,
Julia,Scott,julia.scott@apple.com,423-939-1010,Primm Springs,,,,,,,,,,,,,,,,,,,,,,,
Thomas,Lewis,thomas.lewis@gmail.com,314-679-3697,Dutchtown,,,,,,,,,,,,,,,,,,,,,,,
Carol,Edwards,carol.edwards@msn.com,225-283-4295,Shreveport,,,,,,,,,,,,,,,,,,,,,,,
Matthew,Turner,matthew.turner@gmail.com,236-972-7624,Heathsville,,,,,,,,,,,,,,,,,,,,,,,
Joan,Stewart,joan.stewart@yahoo.com,216-637-6800,Middleport,,,,,,,,,,,,,,,,,,,,,,,
Ruby,Rogers,ruby.rogers@gmail.com,423-231-6507,Woodbury,,,,,,,,,,,,,,,,,,,,,,,
Carolyn,Hayes,carolyn.hayes@hotmail.co.uk,239-882-8784,Saint Cloud,,,,,,,,,,,,,,,,,,,,,,,
Anne,Russell,anne.russell@ibm.com,605-635-1306,Stockholm,,,,,,,,,,,,,,,,,,,,,,,
Daniel,Cooper,daniel.cooper@yahoo.com,701-510-8162,Manning,,,,,,,,,,,,,,,,,,,,,,,
